City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pedernales,18.0384,-71.744,28.07,62,6,4.36,DO,1683414197
1,Leoben,47.3461,15.1257,10.47,80,100,0.68,AT,1683414198
2,Yellowknife,62.456,-114.3525,19.29,30,20,9.26,CA,1683414198
3,Edinburgh of the Seven Seas,-37.0676,-12.3116,15.37,75,100,5.32,SH,1683414198
4,Waitangi,-43.9535,-176.5597,16.01,89,100,2.68,NZ,1683414198
5,Hālol,22.5,73.4667,29.38,56,98,3.06,IN,1683414198
6,Nova Sintra,14.8667,-24.7167,20.09,78,2,10.77,CV,1683414198
7,Sur,22.5667,59.5289,28.04,58,3,4.69,OM,1683414198
8,Iskateley,67.6803,53.1512,-8.53,95,37,4.95,RU,1683414198
9,Grytviken,-54.2811,-36.5092,3.44,85,98,5.33,GS,1683414199
10,Mejit,10.2753,170.8646,27.28,83,86,7.81,MH,1683414199
11,Puerto Natales,-51.7236,-72.4875,5.55,83,9,2.93,CL,1683414199
12,East Ballina,-28.8667,153.5833,18.9,86,99,2.23,AU,1683414199
13,Hamilton,39.1834,-84.5333,24.0,55,100,3.09,US,1683413950
14,Amuntai,-2.4177,115.2494,24.04,98,96,0.57,ID,1683414199
15,Seward,40.907,-97.0989,27.3,56,26,2.68,US,1683414199
16,Ribeira Grande,38.5167,-28.7,18.21,95,100,12.07,PT,1683414199
17,St. John's,47.5649,-52.7093,3.21,94,100,4.12,CA,1683414199
18,Port-aux-Français,-49.35,70.2167,4.15,65,82,13.49,TF,1683414199
19,Constanța,44.1833,28.65,11.5,75,14,7.67,RO,1683414200
20,Dāmghān,36.1683,54.348,15.86,30,0,1.54,IR,1683414200
21,Susuman,62.7833,148.1667,-2.8,71,26,1.05,RU,1683414200
22,Afaahiti,-17.75,-149.2833,28.93,81,68,7.37,PF,1683414200
23,Dzuunmod,48.2199,97.3744,3.6,62,100,0.92,MN,1683414074
24,Olonkinbyen,70.9221,-8.7187,-0.91,94,100,5.8,SJ,1683414200
25,Ust-Nera,64.5667,143.2,-0.39,77,96,2.38,RU,1683414200
26,Balabac,7.9868,117.0645,26.98,84,99,4.62,PH,1683414200
27,Antofagasta,-23.65,-70.4,16.6,83,5,2.86,CL,1683413642
28,Adamstown,-25.066,-130.1015,22.24,79,100,3.49,PN,1683414201
29,Palikir,6.9248,158.1611,27.93,76,100,3.97,FM,1683414201
30,San José Iturbide,21.0,-100.3833,29.22,22,59,2.4,MX,1683414201
31,Buala,-8.145,159.5921,29.86,71,31,2.75,SB,1683414201
32,Cleveland,41.4995,-81.6954,22.1,57,0,6.69,US,1683413975
33,West Island,-12.1568,96.8225,26.99,94,75,1.54,CC,1683414201
34,Tiksi,71.6872,128.8694,-14.13,92,93,2.74,RU,1683414201
35,Baiti,13.745,-14.7482,31.54,25,37,4.06,SN,1683414202
36,Blackmans Bay,-43.0167,147.3167,5.41,81,54,3.08,AU,1683414202
37,Praia da Vitória,38.7333,-27.0667,20.14,83,75,10.5,PT,1683414202
38,Hawaiian Paradise Park,19.5933,-154.9731,26.13,73,99,5.12,US,1683414202
39,Lihue,21.9789,-159.3672,26.58,68,100,7.04,US,1683414202
40,Invercargill,-46.4,168.35,12.38,84,28,1.42,NZ,1683414202
41,El Calafate,-50.3408,-72.2768,6.58,72,1,3.86,AR,1683414203
42,George Town,5.4112,100.3354,26.96,94,20,1.54,MY,1683413988
43,Dudinka,69.4058,86.1778,-20.78,100,100,0.53,RU,1683414203
44,Bethel,41.3712,-73.414,21.17,32,0,3.6,US,1683414203
45,Nyurba,63.2842,118.3319,-1.64,92,95,5.72,RU,1683414203
46,Nishinoomote,30.7333,131.0,21.6,93,100,5.25,JP,1683413952
47,Talnakh,69.4865,88.3972,-17.46,97,67,0.82,RU,1683414203
48,Saint Paul Harbor,57.79,-152.4072,4.03,91,100,1.41,US,1683414203
49,Bredasdorp,-34.5322,20.0403,15.43,83,89,1.53,ZA,1683414204
50,Minas de Marcona,-15.2119,-75.1103,16.24,82,30,5.86,PE,1683414204
51,River Cess,5.46,-9.5828,27.75,81,82,4.03,LR,1683414204
52,Hinton,53.4001,-117.5857,14.96,50,48,7.73,CA,1683414037
53,Vernon,50.2581,-119.2691,15.2,62,100,0.51,CA,1683413968
54,Aras-asan,8.8908,126.3033,26.5,79,95,0.71,PH,1683414204
55,Hammerfest,70.6634,23.6821,1.25,75,75,1.03,NO,1683414204
56,Kirakira,-10.4544,161.9205,29.72,73,19,2.56,SB,1683414204
57,Port Alfred,-33.5906,26.891,14.54,91,58,0.89,ZA,1683414204
58,Jamestown,42.097,-79.2353,18.8,45,0,4.12,US,1683414076
59,Qarqaraly,49.4058,75.4742,8.72,43,2,1.88,KZ,1683414205
60,Margaret River,-33.95,115.0667,12.87,93,100,6.03,AU,1683414205
61,Happy Valley-Goose Bay,53.3168,-60.3315,12.17,43,100,4.63,CA,1683414205
62,Huarmey,-10.0681,-78.1522,23.8,80,4,4.5,PE,1683414205
63,Laojunmiao,39.8333,97.7333,2.22,80,28,0.91,CN,1683414205
64,Puerto Ayora,-0.7393,-90.3518,29.98,92,98,1.79,EC,1683414205
65,Vorkuta,67.5,64.0,-10.26,94,99,3.88,RU,1683414205
66,Sepuka,-4.75,34.5333,17.73,78,94,3.62,TZ,1683414205
67,Petropavlovsk-Kamchatskiy,53.0452,158.6483,7.33,46,75,9.0,RU,1683414206
68,Sitka,57.0531,-135.33,10.33,61,91,2.85,US,1683414100
69,Ancud,-41.8697,-73.8203,11.05,95,97,1.85,CL,1683414206
70,Port Elizabeth,-33.918,25.5701,16.84,83,0,4.12,ZA,1683414206
71,Rijau,11.103,5.2507,29.08,52,92,2.69,NG,1683414206
72,Klyuchi,52.2667,79.1667,13.21,41,2,3.17,RU,1683414206
73,Ilomantsi,62.6716,30.9328,-0.17,97,64,2.07,FI,1683414207
74,Inhambane,-23.865,35.3833,21.69,81,0,2.69,MZ,1683414207
75,Rio Grande,-32.035,-52.0986,19.06,98,100,4.7,BR,1683414207
76,Thompson,55.7435,-97.8558,17.09,31,40,3.09,CA,1683414207
77,Bilibino,68.0546,166.4372,-2.13,93,100,1.84,RU,1683414207
78,Papatowai,-46.5619,169.4708,13.12,81,13,2.82,NZ,1683414207
79,Chonchi,-42.6128,-73.8092,10.56,96,81,2.04,CL,1683414157
80,Hithadhoo,-0.6,73.0833,28.63,75,100,8.87,MV,1683414208
81,Atafu Village,-8.5421,-172.5159,29.14,73,0,5.95,TK,1683414208
82,Iqaluit,63.7506,-68.5145,-1.15,80,20,13.38,CA,1683414208
83,Vorgashor,67.5833,63.95,-10.39,94,99,3.84,RU,1683414208
84,Albany,42.6001,-73.9662,18.82,47,29,4.0,US,1683414001
85,Punta Arenas,-53.15,-70.9167,6.06,75,20,7.2,CL,1683413997
86,Qala i Naw,34.9874,63.1289,15.05,33,1,1.69,AF,1683414208
87,Tralee,52.2704,-9.7026,9.64,94,86,1.88,IE,1683414208
88,Klaksvík,62.2266,-6.589,8.51,98,88,8.39,FO,1683414208
89,Shijiazhuang,38.0414,114.4786,10.92,49,38,2.34,CN,1683414209
90,Manta,-0.95,-80.7333,27.88,78,75,3.09,EC,1683414209
91,Gaspé,48.8334,-64.4819,15.12,26,40,2.57,CA,1683414209
92,Hermanus,-34.4187,19.2345,14.33,87,99,2.66,ZA,1683414209
93,São Vicente,-23.9631,-46.3919,26.1,26,99,0.45,BR,1683414209
94,Isafjordur,66.0755,-23.124,5.31,92,98,2.99,IS,1683414209
95,Lā‘ie,21.6477,-157.9253,26.66,69,100,9.23,US,1683414209
96,Piti Village,13.4626,144.6933,30.49,82,100,4.74,GU,1683414209
97,Vadsø,70.0744,29.7487,0.49,93,65,1.03,NO,1683414210
98,Kayangel,8.0823,134.7173,28.13,77,43,4.53,PW,1683414210
99,Qaqortoq,60.7167,-46.0333,1.81,84,85,1.52,GL,1683414210
100,Tarumã,-22.7467,-50.5772,21.35,83,6,1.47,BR,1683414210
101,Tobol'sk,58.2,68.2667,12.74,44,62,4.04,RU,1683414210
102,Plettenberg Bay,-34.0527,23.3716,15.17,78,2,2.91,ZA,1683414211
103,Longyearbyen,78.2186,15.6401,-1.09,80,75,0.0,SJ,1683414211
104,Kargasok,59.0556,80.8572,10.47,75,56,3.76,RU,1683414211
105,Kendari,-3.945,122.4989,25.06,92,88,1.31,ID,1683414211
106,Howrah,22.5892,88.3103,29.0,84,20,4.63,IN,1683414211
